Hackelia difformis
Lappula caespitosa
Lappula ferganensis
Lappula himalayensis
Lasiocaryum trichocarpum
Mattiastrum himalayense
Metaeritrichium microuloides
Microula blepharolepis
Microula ciliaris
Microula diffusa
Microula efoveolata
Microula floribunda
Microula hispidissima
Microula involucriformis
Microula jilongensis
Microula leiocarpa
Microula longipes
Microula longituba
Microula muliensis
Microula myosotidea
Microula oblongifolia
Microula ovalifolia
Microula polygonoides
Microula pseudotrichocarpa
Microula rockii
Microula spathulata
Microula stenophylla
Microula tangutica
Microula younghusbandii
Onosma adenopus
Onosma album
Onosma glomeratum
Onosma liui
Onosma maaikangense
Onosma mertensioides
Onosma multiramosum
Onosma nangqienense
Onosma sinicum
Onosma waddellii
Onosma waltonii
Onosma wardii
Onosma yajiangense
Onosma zayuense
Trigonotis barkamensis
Trigonotis bracteata
Trigonotis cinereifolia
Trigonotis corispermoides
Trigonotis delicatula
Trigonotis gracilipes
Trigonotis leucantha
Trigonotis longipes
Trigonotis longiramosa
Trigonotis muliensis
Trigonotis petiolaris
Trigonotis rockii
Trigonotis rotundata
Trikeraia pappiformis
Baimashania pulvinata
Cardamine caroides
Cardamine franchetiana
Cardamine gracilis
Cardamine microzyga
Cardamine multiflora
Cardamine purpurascens
Cardamine rockii
Cardamine simplex
Chorispora tashkorganica
Christolea niyaensis
Desideria baiogoinensis
Desideria prolifera
Dilophia ebracteata
Dipoma iberideum
Dontostemon tibeticus
Draba calcicola
Draba draboides
Draba handelii
Draba involucrata
Draba juncunda
Draba linearifolia
Draba matangensis
Draba nylamensis
Draba oreodoxa
Draba remotiflora
Draba senilis
Draba serpens
Draba surculosa
Draba yunnanensis
Draba zangbeiensis
Erysimum forrestii
Erysimum handel-mazzettii
Erysimum roseum
Erysimum wardii
Eutrema fontanum
Eutrema verticillatum
Hemilophia franchetii
Hemilophia pulchella
Hemilophia rockii
Hemilophia sessilifolia
Phaeonychium villosum
Platycraspedum tibeticum
Platycraspedum wuchengyii
Sinosophiopsis bartholomewii
Sisymbriopsis pamirica
Sisymbriopsis yechengnica
Sisymbrium yunnanense
Solms-laubachia eurycarpa
Solms-laubachia lanata
Solms-laubachia linearifolia
Solms-laubachia minor
Solms-laubachia pulcherrima
Solms-laubachia retropilosa
Solms-laubachia xerophyta
Thlaspi flagelliferum
Thlaspi yunnanense
Buxus rugulosa
Adenophora brevidiscifera
Adenophora jasionifolia
Adenophora liliifolioides
Adenophora lobophylla
Campanula calcicola
Campanula chinensis
Campanula crenulata
Campanula delavayi
