拉丁名,纬度-Latitude,经度 - Longitude
Aster bulleyanus,26.453601,99.416689
Aster dolichopodus,31.39,100.67
Aster fulgidulus,29.63,94.36
Aster handelii,30.05,101.96
Aster hersileoides,31.08,103.26
Aster heterolepis,33.392394,104.926525
Aster hololachnus,28.65,87.12
Aster homochlamydeus,34.04,104.39
Aster hypoleucus,29.07,92.87
Aster ionoglossus,28.85,85.29
Aster jeffreyanus,36.519977,103.891767
Aster lavanduliifolius,38.073254,104.69114
Aster lingulatus,28.93,99.79
Aster longipetiolatus,30.368117,102.81464
Aster megalanthus,32.8,102.55
Aster poliothamnus,34.43808,104.036837
Aster polius,29.85,95.76
Aster retusus,29.967,94.251
Aster setchuenensis,31.8,98.58
Aster sikuensis,32.94,104.68
Aster techinensis,28.48611,98.911543
Aster tongolensis,31.87,99.12
Aster trichoneurus,28.48611,98.911543
Aster tsarungensis,28.91,89.6
Aster yunnanensis,31.82,93.57
Bolocephalus saussureoides,31.712092,88.118532
Cancrinia maximowiczii,36.1933,100.715
Carpesium humile,29.037008,100.298406
Carpesium lipskyi,28.479167,98.778611
Chaetoseris lyriformis,26.876096,100.229945
Chaetoseris macrocephala,29.14,92.59
Chaetoseris pectiniformis,28.48611,98.911543
Chaetoseris sichuanensis,29.914155,102.234618
Cicerbita roborowskii,28.1217,85.99
Cirsium chrysolepis,24.399048,113.987821
Cirsium handelii,35.86,104.2
Cirsium muliense,27.928607,101.279419
Cirsium periacanthaceum,31.7256,100.744
Cirsium subulariforme,35.86,104.2
Cirsium tibeticum,29.7408,91.1164
Cousinia lasiophylla,39.71,75.25
Cousinia sclerolepis,30.29,81.17
Cremanthodium angustifolium,29.037008,100.298406
Cremanthodium botryocephalum,27.624517,99.643997
Cremanthodium brachychaetum,27.177166,99.28717
Cremanthodium brunneopilosum,33.00528,97.0065
Cremanthodium bulbilliferum,35.86,104.2
Cremanthodium bupleurifolium,35.86,104.2
Cremanthodium calcicola,29.32,95.33
Cremanthodium conaense,28,91.95
Cremanthodium cordatum,27.48,88.9
